source,page,text
c4_ml_models_pt1.pdf,10,"Step 2: Training Machine Learning Models
We can use different ML models to classify emails:
Model
Pros
Cons
Naïve Bayes
Fast & works well on small 
data
Assumes words are 
independent
Logistic Regression
Simple & interpretable
Struggles with complex text
Support Vector Machine (SVM)
Great for text classification
Slow with large datasets
Random Forest
Robust & handles noisy data
Requires more computation"
c4_ml_models_pt1.pdf,11,"Step 3: Evaluating Model Performance
How do we measure if our model works well?
●
Accuracy – Correct predictions / Total predictions
●
Precision – How many predicted spam emails are actually spam?
●
Recall – How many actual spam emails were detected?
●
F1-Score – Balance between Precision & Recall
●
Confusion Matrix
Predicted Spam
Predicted Ham
Actual Spam
✅ 50
❌ 10
Actual Ham
❌ 5
✅ 100"
c4_ml_models_pt1.pdf,12,Sentiment Analysis
c4_ml_models_pt1.pdf,13,Sentiment Analysis
c4_ml_models_pt1.pdf,14,"Classification or Regression
●
Typically we consider sentiment analysis to be a classification task
●
When we have multiple classes, we can also treat it as regression task
●
Ex: 4.2 positive, -3.5 negetive"
c4_ml_models_pt1.pdf,15,"Types of Sentiment Analysis
●
Binary Sentiment Analysis: Classifies text as positive or negative.
●
Ternary Sentiment Analysis: Categorizes text as positive, negative, or 
neutral.
●
Fine-Grained Sentiment Analysis: Uses a scale (e.g., very positive, 
positive, neutral, negative, very negative).
●
Aspect-Based Sentiment Analysis: Identifies sentiment towards specific 
aspects of a product or service.
○
For example, in a restaurant review like 'The food was amazing, but the service was slow,' 
aspect-based sentiment analysis would classify 'food' as positive and 'service' as negative.
●
Emotion Detection: Recognizes emotions such as happiness, anger, 
sadness, etc."
c4_ml_models_pt1.pdf,16,"Approaches to Sentiment Analysis
●
Lexicon-Based Approach:
○
Uses predefined word lists (sentiment lexicons) to determine sentiment.
■
Ex: 讚、喜歡、優秀，各得 +1 分；爛、討厭、雷，各得 -1 分
○
除此之外，也會針對否定詞、程度副詞、標點符號等另行處理
■
不好 → -1*1
■
好吃 → +1; 超級好吃 → +1.5; 稍微好吃 → +0.5
■
誇張 vs 誇張！！！
○
Example approach: SentiWordNet, AFINN.
●
Machine Learning-Based Approach:
○
Uses algorithms such as Naive Bayes, Support Vector Machines (SVM), and Deep Learning.
○
Requires training data labeled with sentiment."
c4_ml_models_pt1.pdf,17,"Sentiment Analysis Tools & Libraries
●
VADER
○
Suitable for social media sentiment analysis. It is rule-based and works well with short, 
informal text such as tweets.
○
Ex: LOL, WTF
●
TextBlob
○
Simple API for NLP tasks, including sentiment analysis. Good for beginners and lightweight 
applications.
●
BERT & Transformer Models
○
State-of-the-art NLP models that improve sentiment classification by understanding contextual 
meaning in text."
c4_ml_models_pt1.pdf,18,"Challenges in Sentiment Analysis
●
Sarcasm & Irony
○
ex: 老師講的笑話真的太好笑了，不用開冷氣也不會熱
●
Context Understanding
○
ex: 我沒事
○
Context 1 (陌生人) → postive or neutral
○
Context 2 (另一半) → negative !!!
●
Domain Dependency
○
劇情發展完全不可預測！vs 系統運作狀態不可預測
●
Scope of Negation
○
ex: 我不覺得這部電影的特效做得很好，但配樂還算可以。
○
“不”的影響範圍到底有多遠?"
c4_ml_models_pt1.pdf,19,"Real-World Applications of Sentiment Analysis
●
Customer Feedback Analysis: Understanding user satisfaction in reviews.
●
Social Media Monitoring: Identifying public sentiment about brands and 
events.
●
Political Analysis: Assessing public opinion on political issues.
●
Stock Market Predictions: Analyzing sentiment from financial news and 
tweets.
●
Healthcare & Mental Health Monitoring: Detecting signs of depression or 
stress through text analysis."
c4_ml_models_pt1.pdf,20,Text Summarization
c4_ml_models_pt1.pdf,21,"Text Summarization
●
We do this all the time
-
Scientific paper abstracts
-
Executive summaries in professional documents
-
…
●
Summary also helps AI"
c4_ml_models_pt1.pdf,22,"Why Text Summarization Helps AI
●
“Summarization” is an aspect of “learning”
●
E.g. In everyday conversations, we often paraphrase (i.e. summarize) what 
people tell you
●
Summarization is a way for learning systems to demonstrate understanding of 
a concept
●
Summarization can also be used for reducing the size of tokens passing to 
models (e.g. ChatGPT)"
c4_ml_models_pt1.pdf,23,"2 Types of Summarization
Extractive Summarization:
●
Selects key sentences or phrases directly from the original text.
●
Example: News summarization by picking the most relevant sentences.
●
Tools: TextRank, LexRank, Sumy, RAKE.
Abstractive Summarization:
●
Generates a summary using new words while retaining the original meaning.
●
Example: Human-like rewriting of a paragraph in a more concise form.
●
Tools: BERTSUM, Pegasus, T5, GPT-based models."
c4_ml_models_pt1.pdf,24,"Text Summarization with TF-IDF
●
Split the document into sentences
●
Score each sentence
●
Rank each sentence by those scores
●
Summary = top scoring sentences"
c4_ml_models_pt1.pdf,25,"Sentence Splitting & TF-IDF
●
Sentence tokenization (splitting document into sentences) can be done with 
NLTK (nltk.sent_tokenize(your_text))
●
Built TF-IDF matrix, treating each sentence as if they were documents
●
In previous example, the TF-IDF matrix was document x terms
●
In this case, it will be sentences x terms"
c4_ml_models_pt1.pdf,26,"Scoring Each Sentence
●
Score = Average(non-zero TF-IDF values)
●
E.g. if row = [0, 1, 0, 0, 0, 2, 3, 0, 0, 0], then score = avg(1, 2, 3) = 2
●
Why mean and not sum? 
●
The sum would be biased toward longer sentences"
c4_ml_models_pt1.pdf,27,"What to Do with the Scores
●
Idea: sort the scores, pick the sentences with the highest scores
●
How? There are multiple options: choose what works best for you
●
Simple: top N sentences (e.g. top 5, top 10)
●
Also simple: top N words, top N characters (e.g. if limited by space)
●
Top X% of sentences, top X% of words / characters"
c4_ml_models_pt1.pdf,28,"TextRank
●
Split the document into sentences
●
Preprocessing 
●
Score each sentence
●
Rank each sentence by those scores
●
Summary = top scoring sentences
●
TextRank is an alternative method of scoring each sentence
●
All the other steps remain"
c4_ml_models_pt1.pdf,29,"PageRank
●
TextRank is based on PageRank, Google’s state-of-the-art search ranking 
method ~20 years ago which beat all competitors and led to Google 
becoming one of the largest tech companies in the world
●
The Internet is made up of web pages, each of which can potentially be 
returned as a search result
●
We would like to compute a score for each webpage"
c4_ml_models_pt1.pdf,30,"The Secret to PageRank
●
The secret to scoring each web 
page is the random walk
●
Starting from an arbitrary page, 
randomly select a link, go to that 
page, repeat forever…
●
After a “long time”, the probability of 
landing on any particular page is 
constant (convergence)
●
Doesn’t matter where you start!"
c4_ml_models_pt1.pdf,31,"PageRank Intuition
●
A web page with more incoming 
links is more popular, and will have 
a higher chance of being landed on
●
A web page few or no links is not 
popular, so the probability of going 
there is smaller
●
These probabilities are the 
PageRank scores"
c4_ml_models_pt1.pdf,32,"Applying PageRank to TextRank
●
There are two TextRank methods: symmetric and asymmetric
●
Symmetric is suitable for sentence extraction as we evaluate the similarity 
between two sentences, there is no direction
●
Asymmetric is suitable for keyword extraction because the word order matters
○
Ex: “人工”後面常常接“智慧”，但“智慧”後面可能常接的是“手錶”、“財產”
https://reurl.cc/ezxerm"
c4_ml_models_pt1.pdf,33,"Symmetric TextRank
The symmetric TextRank algorithm:
●
S(Vi)：句子 i 目前的重要性分數 (Score)
●
d：阻尼係數，通常設為 0.85。代表15% 的機率會隨機跳到其他句子，避免分數
流動卡死在某個封閉的小圈圈裡
●
N(Vi)：與句子 i 相連的所有鄰居節點的集合
●
wij：句子 i 與句子 j 之間的相似度權重
●
ΣVk ∈ N(Vj) wjk：這是句子 j 跟它所有鄰居連線的權重總和。把它放在分母，是為
了計算出一個分配比例"
c4_ml_models_pt1.pdf,34,"Symmetric TextRank
Step 1: 計算句子間的相似度
●
Can use cooccurence counting or cosine similarity
●
S1 與 S2： 共有「機器、學習、很」3 個詞 → w12 = w21 = 3
●
S1 與 S3： 共有「學習」1 個詞 → w13 = w31 = 1
●
S2 與 S3： 共有「學習、困難」2 個詞 → w23 = w32 = 2
假設我們有三個句子 (斷詞版)
●
S1： 機器 學習 很 有趣
●
S2： 機器 學習 很 困難
●
S3： 深度 學習 解決 困難
假設所有句子的起始分數都是1"
c4_ml_models_pt1.pdf,35,"Symmetric TextRank
Step 2: 計算分母 
●
S1 的總權重 (W1) = w12 + w13 = 3 + 1 = 4
●
S2 的總權重 (W2) = w21 + w23 = 3 + 2 = 5
●
S3 的總權重 (W3) = w31 + w32 = 1 + 2 = 3
假設我們有三個句子 (斷詞版)
●
S1： 機器 學習 很 有趣
●
S2： 機器 學習 很 困難
●
S3： 深度 學習 解決 困難
假設所有句子的起始分數都是1
●
w12 = w21 = 3
●
w13 = w31 = 1
●
w23 = w32 = 2"
c4_ml_models_pt1.pdf,36,"Symmetric TextRank
Step 3: 迭代開始 
●
Update S1
○
從 S2 那邊可以分到 ⅗ 的比例
○
從 S3 那邊可以分到 ⅓  的比例
○
S(S1) = (1 - 0.85) + 0.85 * (⅗ * 1 + ⅓ *1) = 0.943
假設我們有三個句子 (斷詞版)
●
S1： 機器 學習 很 有趣
●
S2： 機器 學習 很 困難
●
S3： 深度 學習 解決 困難
假設所有句子的起始分數都是
1
●
w12 = w21 = 3
●
w13 = w31 = 1
●
w23 = w32 = 2
●
W1 = 4
●
W2 = 5
●
W3 = 3"
c4_ml_models_pt1.pdf,37,"Symmetric TextRank
Step 3: 迭代開始 
●
Update S2
○
從 S1 那邊可以分到 ¾  的比例
○
從 S3 那邊可以分到 ⅔  的比例
○
S(S2) = (1 - 0.85) + 0.85 * (¾  * 1 + ⅔ *1) =1.354
假設我們有三個句子 (斷詞版)
●
S1： 機器 學習 很 有趣
●
S2： 機器 學習 很 困難
●
S3： 深度 學習 解決 困難
假設所有句子的起始分數都是
1
●
w12 = w21 = 3
●
w13 = w31 = 1
●
w23 = w32 = 2
●
W1 = 4
●
W2 = 5
●
W3 = 3"
c4_ml_models_pt1.pdf,38,"Symmetric TextRank
Step 3: 迭代開始 
●
Update S3
○
從 S1 那邊可以分到 ¼  的比例
○
從 S2 那邊可以分到 ⅖ 的比例
○
S(S3) = (1 - 0.85) + 0.85 * (¼  * 1 + ⅖ *1) =0.703
假設我們有三個句子 (斷詞版)
●
S1： 機器 學習 很 有趣
●
S2： 機器 學習 很 困難
●
S3： 深度 學習 解決 困難
假設所有句子的起始分數都是
1
●
w12 = w21 = 3
●
w13 = w31 = 1
●
w23 = w32 = 2
●
W1 = 4
●
W2 = 5
●
W3 = 3"
c4_ml_models_pt1.pdf,39,"Symmetric TextRank
Step 3: 迭代開始 
●
Update S3
○
從 S1 那邊可以分到 ¼  的比例
○
從 S2 那邊可以分到 ⅖ 的比例
○
S(S3) = (1 - 0.85) + 0.85 * (¼  * 1 + ⅖ *1) =0.703
假設我們有三個句子 (斷詞版)
●
S1： 機器 學習 很 有趣
●
S2： 機器 學習 很 困難
●
S3： 深度 學習 解決 困難
假設所有句子的起始分數都是
1
●
w12 = w21 = 3
●
w13 = w31 = 1
●
w23 = w32 = 2
●
W1 = 4
●
W2 = 5
●
W3 = 3
第一輪結束後：
S1：1→0.94
S2：1→1.35
S3：1→0.7
Repeat Step3 直到收斂"
c4_ml_models_pt1.pdf,40,"Evaluating Summarization Quality
How to Assess Summarization?
●
Evaluating summarization requires both automatic and human evaluation 
methods.
●
Key criteria: Relevance, Fluency, Coherence, Conciseness, and Faithfulness."
c4_ml_models_pt1.pdf,41,"Automatic Evaluation – ROUGE
●
Recall-Oriented Understudy for Gisting Evaluation
●
In summarization, omission is worse than redundancy
●
ROUGE-N (N-gram matching) & ROUGE-L (Longest Common Subsequence)
Reference: 小明 喜歡 吃 蘋果
Generated: 小明 非常 喜歡 吃 紅色 的 蘋果
ROUGE-1 (是否有關鍵字):
●
Overlap: 小明、喜歡、吃、蘋果
●
Recall = 4/4 = 100%
●
Precision = 4/7 = 57.1%
●
F1-score = 72.7%"
c4_ml_models_pt1.pdf,42,"Automatic Evaluation – ROUGE
●
Recall-Oriented Understudy for Gisting Evaluation
●
In summarization, omission is worse than redundancy
●
ROUGE-N (N-gram matching) & ROUGE-L (Longest Common Subsequence)
Reference: 小明 喜歡 吃 蘋果
Generated: 小明 非常 喜歡 吃 紅色 的 蘋果
ROUGE-2 (是否流暢):
●
Overlap: [喜歡 吃]
●
Recall = 1/3 = 33.3%
●
Precision = 1/6 = 16.7%
●
F1-score = 22.2%"
c4_ml_models_pt1.pdf,43,"Automatic Evaluation – ROUGE
●
Recall-Oriented Understudy for Gisting Evaluation
●
In summarization, omission is worse than redundancy
●
ROUGE-N (N-gram matching) & ROUGE-L (Longest Common Subsequence)
Reference: 小明 喜歡 吃 蘋果
Generated: 小明 非常 喜歡 吃 紅色 的 蘋果
ROUGE-L (句子架構):
●
LCS: 小明 → 喜歡 → 吃 → 蘋果 (長度為 4)
●
Recall = len(LCS)/len(Ref) = 4/4 = 100%
●
Precision = len(LCS)/len(Gen) = 4/7 =57.1%
●
F1-score = 72.7%"
c4_ml_models_pt1.pdf,44,"Automatic Metrics
Metric
Description
Strengths
Limitations
ROUGE
Measures overlap of n-grams 
between generated and 
reference summaries
Fast, widely used, 
good for extractive 
summaries
Favors surface similarity, 
ignores meaning
BLEU
Counts n-gram overlaps
Good for short 
summaries
Penalizes paraphrasing, 
not ideal for summarization
METEOR
Uses stemming & synonym 
matching
More robust than 
BLEU
Computationally complex
BERTScore
Uses deep learning to measure 
semantic similarity
Captures meaning 
better than 
ROUGE/BLEU
Requires pre-trained 
models"
c4_ml_models_pt1.pdf,45,"Human Evaluation
Aspect
Description
Example Evaluation Criteria
Relevance
Captures key information from source
Are essential details included?
Fluency
Grammatically correct & readable
Does the summary read smoothly?
Coherence
Logical sentence connections
Does the summary flow naturally?
Conciseness
Brief yet informative
Does it remove unnecessary words?
Faithfulness
Accurately reflects source content
Is it free from misinformation?"
c4_ml_models_pt1.pdf,46,"Challenges in Text Summarization
●
Context Understanding: Struggling to capture deep semantic meaning, 
especially in long documents.
●
Coherence: Summaries assembled from extracted sentences may lack 
natural logical flow.
●
Information Loss: High risk of omitting crucial details from the source text.
●
Bias & Hallucination: AI-generated summaries might introduce 
misinformation."
c4_ml_models_pt2.pdf,1,Topic Modeling
c4_ml_models_pt2.pdf,2,"What is Topic Modeling?
●
A type of unsupervised machine learning used for text analysis
●
Discovers latent topics in a collection of documents without human 
intervention
●
Helps in organizing, summarizing, and understanding large text corpora
●
Unlike classification, topics are not predefined but are derived from patterns in 
the data"
c4_ml_models_pt2.pdf,3,"Key Topic Modeling Techniques
Latent Dirichlet Allocation (LDA)
●
The most widely used topic modeling algorithm
●
Assumes each document is a mixture of multiple topics, and each topic is a 
mixture of words
●
Uses Bayesian probability and Dirichlet distribution to infer topic distributions
●
Example use case: Organizing scientific articles into research domains 
(overlapping topics, long text)"
c4_ml_models_pt2.pdf,4,"Key Topic Modeling Techniques
Non-Negative Matrix Factorization (NMF)
●
Uses matrix factorization to find hidden patterns in textual data
●
Works well for high-dimensional data by breaking text down into meaningful 
components (sparse matrix)
●
Does not assume a probabilistic model like LDA (faster)
●
Example use case: Extracting themes from customer service chat logs 
(non-overlapping topics, short text)"
c4_ml_models_pt2.pdf,5,"Key Topic Modeling Techniques
Latent Semantic Analysis (LSA)
●
Applies Singular Value Decomposition (SVD) to reduce dimensionality and 
capture topic-word relationships
●
Good for finding synonym relationships and handling noisy data
●
Example use case: Improving search engine results based on contextual 
meaning"
c4_ml_models_pt2.pdf,6,"LDA Overview
●
Probabilistic generative model used for discovering topics in a collection of 
documents
●
Each document is a mixture of multiple topics, and each topic is a distribution 
over words
●
Utilizes Dirichlet priors to control topic distributions
●
Uses Bayesian inference techniques such as Gibbs sampling or 
Variational Inference
●
Requires specifying the number of topics (K) beforehand"
c4_ml_models_pt2.pdf,7,"How LDA Works (High-Level)
我
我是誰：
品種 → 電動人 (topics)
興趣 → 漫畫、電動
https://reurl.cc/VzDxj6
人生地不熟，哪裡適合電動人去呢？"
c4_ml_models_pt2.pdf,8,"Collect Documents
地區 (Documents)
朋友 (Words)"
c4_ml_models_pt2.pdf,9,"初始狀態 (隨便猜)
地區 (Documents)
朋友 (Words)
地區特性 / 朋友興趣 
(Topics)
大雄是文青
靜香是網美"
c4_ml_models_pt2.pdf,10,"Iterative Update
地區 (Documents)
朋友 (Words)
地區特性 / 朋友興趣 
(Topics)
大雄是文青"
c4_ml_models_pt2.pdf,11,"Iterative Update
地區 (Documents)
朋友 (Words)
地區特性 / 朋友興趣 
(Topics)
大雄是文青
電動人
電動人
電動人
再仔細觀察其他人..."
c4_ml_models_pt2.pdf,12,"Iterative Update
地區 (Documents)
朋友 (Words)
地區特性 / 朋友興趣 
(Topics)
大雄是電動人
電動人
電動人
電動人"
c4_ml_models_pt2.pdf,13,"Iterative Update
地區 (Documents)
朋友 (Words)
地區特性 / 朋友興趣 
(Topics)
大雄是電動人
電動人
電動人
電動人
經過多次迭代後，發現光華商場裡
出現許多電動人，因此定義出：光
華商場 = 90% 電動人主題"
c4_ml_models_pt2.pdf,14,"Iterative Update
地區 (Documents)
朋友 (Words)
地區特性 / 朋友興趣 
(Topics)
大雄是電動人
電動人
電動人
電動人
Note: 同一個朋友(word)可以出現在不同主題
例如：Faker出現在光華商場，他代表的是 電動人；但如
果Faker出現在信義區百貨公司代言手錶，他可能代表
時尚/商業"
c4_ml_models_pt2.pdf,15,"Iterative Update
地區 (Documents)
朋友 (Words)
地區特性 / 朋友興趣 
(Topics)
大雄在光華商場的
標籤為電動人
電動人
電動人
電動人"
c4_ml_models_pt2.pdf,16,"Iterative Update
地區 (Documents)
朋友 (Words)
地區特性 / 朋友興趣 
(Topics)
大雄在光華商場的
標籤為電動人
電動人
電動人
電動人
如果我們在一個沒去過的地下街(new 
document)，看到一堆Faker 和研磨在走動
，雖然我們不知道那是什麼地方，但根據 
LDA可以推測那邊的主題"
c4_ml_models_pt2.pdf,17,"50%: 購物仔
30%: 電影仔
15%: 網美
5%: 電動人
同樣地，經過多次迭代我們可
以推論信義區的主題分佈為..."
c4_ml_models_pt2.pdf,18,"Key Concepts in LDA
●
Documents as Topic Mixtures
○
Example: A research paper might be 60% about AI and 40% about statistics
●
Topics as Word Distributions
○
Example:
○
Topic 1 (Sports): basketball (0.2), football (0.15), tennis (0.1), player (0.05)...
○
Topic 2 (Technology): AI (0.2), machine (0.15), learning (0.1), neural (0.05)...
●
Dirichlet Distribution
○
Alpha (α): Controls how documents mix topics
■
High α → Documents contain many topics evenly
■
Low α → Documents are dominated by fewer topics
○
Beta (β): Controls how topics mix words
■
High β → Topics share more words
■
Low β → Topics are more distinct"
c4_ml_models_pt2.pdf,19,"Step-by-Step Process
1.
Initialize topics randomly for words in each document (Dirichlet Distribution).
2.
Iterative topic assignment using Gibbs Sampling
a.
Reassign words to topics based on:
i.
How frequently a topic appears in a document
ii.
How frequently a word appears in a topic across all documents
3.
Repeat until convergence to stabilize topic distributions.
4.
Output final results:
a.
Topic-word distributions (which words belong to which topics)
b.
Document-topic distributions (which topics dominate which documents)"
c4_ml_models_pt2.pdf,20,Gibbs Sampling
c4_ml_models_pt2.pdf,21,"Gibbs Sampling
P(標籤 = 網美 | 其他人的狀態})"
c4_ml_models_pt2.pdf,22,"Gibbs Sampling
該地區目前的網美比例 + ɑ"
c4_ml_models_pt2.pdf,23,"Gibbs Sampling
全台北靜香被歸類為網美的次數 + ꞵ"
c4_ml_models_pt2.pdf,24,"API Perspective: Inputs and Outputs
●
Inputs: count vectors (bag of words)"
c4_ml_models_pt2.pdf,25,"API Perspective: Inputs and Outputs
●
2 matrixes as output: topics x words, document x topics"
c4_ml_models_pt2.pdf,26,"API Perspective: Inputs and Outputs
●
2 matrixes as output: topics x words, document x topics"
c4_ml_models_pt2.pdf,27,"API Perspective: Inputs and Outputs
●
2 matrixes as output: topics x words, document x topics"
c4_ml_models_pt2.pdf,28,"API Perspective: Inputs and Outputs
●
2 matrixes as output: topics x words, document x topics"
c4_ml_models_pt2.pdf,29,The Actual API
c4_ml_models_pt2.pdf,30,The Actual API
c4_ml_models_pt2.pdf,31,"Non-Negative Matrix Factorization (NMF)
●
Factorization-based topic modeling method.
●
Decomposes a document-term matrix into two lower-dimensional matrices.
●
Ensures that all matrix values remain non-negative, making the results easier 
to interpret.
●
Works well with TF-IDF-weighted text representations.
●
Requires predefining the number of topics (K) beforehand."
c4_ml_models_pt2.pdf,32,"Recommender Systems
●
You want to recommend movies to users, but there many ways
●
Let’s simplify this: a good recommendation is a movie that a user would rate 
highly
●
Recommendation list is simply a list of movies ordered by predicted rating
●
Our task is simple: predict unknown ratings"
c4_ml_models_pt2.pdf,33,"The Rating Matrix
●
M users (rows), N movies (columns) → M x N matrix
●
Important: we don’t know most of the values
●
Why? Just think about how many movies exist. How many have you seen? 
Rated?
●
It’s a sparse matrix
●
Different notion of sparisty from 
TF-IDF (zero vs. missing)
●
Goal: fill in missing values"
c4_ml_models_pt2.pdf,34,"Matrix Factorization
When we multiply W and H 
together, the result is an MxN 
matrix, with no missing values!"
c4_ml_models_pt2.pdf,35,"How to Find W & H?
●
We “train” ML models by defining a loss function and then finding the values 
of W and H that would minimize that loss
●
E.g. squared error between predictions and true ratings"
c4_ml_models_pt2.pdf,36,NMF Output
c4_ml_models_pt2.pdf,37,"Latent Semantic Analysis
●
LSA is just the application of a well-known ML technique (SVD) applied to a 
term-document matrix
●
Just like applying Naive Bayes or Logistic Regression to vectors
●
By studying these techniques, you’ll improve your skills in other areas too 
(e.g. computer vision)"
c4_ml_models_pt2.pdf,38,"Singular Value Decomposition (SVD) Intuition
●
SVD is useful for reducing dimensionality
●
SVD is useful for visualizing your data 
●
SVD works by finding the best rotation of your data points"
c4_ml_models_pt2.pdf,39,"Reducing Dimensionality
●
In NLP, data is typically high-dimensional (many columns)
●
Often, # features >> # samples
●
More dimensions = more data to process = more time spent
●
Reduce dimensionality = pipeline is more efficient and fast"
c4_ml_models_pt2.pdf,40,"Example: Reducing Dimensionality
●
Project all the data points down to
the line
●
The data is described by a single 
variable, size
●
We only need 1 dimension"
c4_ml_models_pt2.pdf,41,"Visualization
●
Visualization is always useful in data science and ML
●
The world is only 3-D, how can we see data that is 1000-D?"
c4_ml_models_pt2.pdf,42,"Rotation
●
To understand how this works, we should think “backwards”
●
Why do we do dimension reduction? We believe our data has smaller number 
of dimensions, but was embedded into a larger dimensional space"
c4_ml_models_pt2.pdf,43,"Embed the 2-D Object in 3-D Space
A1x2 = [x,y]
A1x2 x M2x3 + Noise = A’1x3
M → 旋轉、縮放和傾斜
Noise → 對每個點加入微小隨機擾
動，產生 3D 的厚度（雜訊）"
c4_ml_models_pt2.pdf,44,"Different Angles
Thickness is the noise 
we add"
c4_ml_models_pt2.pdf,45,"After Applying SVD
●
We recover the happy face
●
It’s not at the right orientation, but that’s ok
SVD found the right 
orientation, and threw away 
the 3rd “noise” dimension 
VT: 找出資料的最佳觀測視角（旋轉空間）
Σ: 決定每個視角的重要性（大的值是特徵，小的
值是雜訊）
丟棄 Σ 中的微小數值後，重新計算出的 Aclean 
就是無雜訊的笑臉"
c4_ml_models_pt2.pdf,46,Noise Removal
c4_ml_models_pt2.pdf,47,"What Does LSA Do?
The “denoised data” is put into 
a documents x topics matrix"
c4_ml_models_pt2.pdf,48,"What Does LSA Do?
The “denoised data” is put into 
a documents x topics matrix
The columns are ordered by 
“importance” (left most is 
most important)"
c4_ml_models_pt2.pdf,49,"What Does LSA Do?
The “denoised data” is put into 
a documents x topics matrix
The columns are ordered by 
“importance” (left most is 
most important)
This means when you plot the 
data with 2-dimensions, you’re 
choosing the best 2 dimensions to 
show"
c4_ml_models_pt2.pdf,50,LSA in Code
c4_ml_models_pt2.pdf,51,LSA in Code
c4_ml_models_pt2.pdf,52,"Choosing the Right Number of Topics
●
Setting too few topics: Oversimplifies the data, leading to broad and 
uninformative topics
●
Setting too many topics: Overfitting, making results harder to interpret
●
Methods to determine optimal topic numbers:
○
Coherence Score 
■
Measures how semantically related the top topic words are
■
Higher = more meaningful topics
○
Perplexity Score 
■
Measures how well the model predicts unseen data
■
Lower = better generalization
■
Mainly for LDA"
c4_ml_models_pt2.pdf,53,"Coherence Score
●
Are top words in a topic meaningfully related?
●
Example:
○
High coherence: apple, banana, grape, orange
○
Low coherence: apple, engine, democracy, pillow
●
Computed using word co-occurrence or semantic similarity (e.g., C_v, UMass)
●
Higher is better
●
Good for evaluating topic interpretability"
c4_ml_models_pt2.pdf,54,"Perplexity Score
●
Measures model's ability to predict unseen documents
●
Lower perplexity → better generalization
●
Common in language modeling
●
But:
○
Doesn’t guarantee meaningful or interpretable topics
○
A model with low perplexity can still produce incoherent topics
●
Not always aligned with human judgment"
c4_ml_models_pt2.pdf,55,Calculating Perplexity Score (skip)
c4_ml_models_pt2.pdf,56,"Challenges in Topic Modeling
●
Choosing the right number of topics
●
Interpreting abstract topics
○
Topics are probabilistic, not always clear-cut
●
Handling short texts
○
Tweets, chat messages, and fragmented text pose challenges
●
Noise in text
○
Presence of irrelevant words and misspellings affects quality"
c5_DL_models.pdf,1,"Announcement
●
期中考
○
4/22 (三)14:10 ~ 16:00
○
地點：337, 338 (請參考ilearning 公告)
○
範圍C1~C5
○
No open book
○
考試開始30分鐘後不得入場
●
Office hour
○
4/20 18:30-21:00 at this class
○
若有課程相關問題可以前來
●
期末專題
●
學習活動（課堂練習）"
c5_DL_models.pdf,2,Deep Learning Models
c5_DL_models.pdf,3,"Why Move from Traditional NLP to Deep Learning?
●
Traditional NLP relies on hand-crafted features (e.g., Bag-of-Words, TF-IDF).
○
Formula is designed by human
●
Often fails to capture context, word order, or semantics.
●
Struggles with sarcasm, polysemy (e.g., ""bank""), and long-distance 
dependencies.
●
Deep learning allows automatic feature learning from data.
●
Enables more powerful, context-aware models."
c5_DL_models.pdf,4,"Why Deep Learning Works Well in NLP
●
Learns word meaning through dense vectors (embeddings).
●
Captures syntax, semantics, and contextual relationships.
●
Scales to large corpora and diverse domains.
●
Enables end-to-end learning from raw input to prediction.
●
Flexible and adaptable across NLP tasks."
c5_DL_models.pdf,5,"What to Watch Out for When Using Deep Learning in NLP
●
Data Hungry: Requires large, labeled datasets for training.
●
Computationally Expensive: Needs powerful hardware (GPU/TPU).
●
Interpretability: Deep models are often black boxes.
●
Overfitting: Especially with small or biased data.
●
Ethical Issues: May reproduce or amplify biases in data."
c5_DL_models.pdf,6,"Preprocessing Considerations in Deep 
Learning NLP"
c5_DL_models.pdf,7,"Stemming and Lemmatization
●
Sometimes skipped in DL pipelines due to learned representations
○
深度學習模型能學到 running、runs、ran 在空間中複雜關係，強行把它們都砍成 run，反而可能
破壞了原本細微的語態資訊
●
May still help in low-resource settings or when training from scratch
○
如果資料量很小，深度學習模型可能無法自行學到複雜的時態變化，這時或許就可以手動做一
些處理"
c5_DL_models.pdf,8,"Stopword Removal
●
Sometimes skipped in DL pipelines due to learned representations
●
May still help in low-resource settings or when training from scratch
●
Optional; models like BERT often benefit from keeping them 
○
停用詞通常會帶有重要的關係資訊
○
Ex: “Flight from Paris to London” vs “Flight to Paris from London”"
c5_DL_models.pdf,9,"Padding and Truncation
●
In Tensorflow, input sequences must all have equal length
●
Use special tokens (e.g., [PAD] or 0)
●
padded_seq = pad_sequences(unpadded_seq)
●
RNNs have trouble “remembering” the past, so it’s usually more useful to 
have padding at the front
GPU 無法處理這個 
3x?的矩陣，除非將
batch size改為1"
c5_DL_models.pdf,10,"Shapes
●
An array containing padded sequences of ints representing sentences will 
have the shape NxT
●
N = # of documents or batch size, T = max document length"
c5_DL_models.pdf,11,"Embedding
●
Consider a generic task, like trying to predict whether or not a user will 
purchase something on your website
●
One data point you have is how the user got to your site:
○
Search (e.g. google)
○
Advertisement
○
Friend
●
Can you just assign numbers? 0 = Search, 1 = Ad, 2 = Friend? No…
●
One-hot encoding: [1,0,0] = Search, [0,1,0] = Ad, [0,0,1] = Friend
●
If w1 is large/positive, search users are more likely to purchase
●
If w2 is large/negative, ad users are less likely to purchase"
